minute_of_day,hour,minute,entropy,n_observations
0,0,0,1.450467463408549,34
1,0,1,1.4700053888821798,34
2,0,2,1.460204707165217,34
3,0,3,1.3956134767356851,34
4,0,4,1.3562162791272803,34
5,0,5,1.262700341564713,34
6,0,6,1.2607717938967942,34
7,0,7,1.1680986951861814,34
8,0,8,1.3359422532021559,34
9,0,9,1.3359422532021559,34
10,0,10,1.4551160528034568,34
11,0,11,1.3386996992730573,34
12,0,12,1.502458419698657,34
13,0,13,1.0927253957766567,34
14,0,14,1.4252902657624795,34
15,0,15,1.4252902657624795,34
16,0,16,1.3360253406140252,34
17,0,17,1.3784188527203236,34
18,0,18,1.3784188527203236,34
19,0,19,1.3359422532021559,34
20,0,20,1.254999237609217,34
21,0,21,1.4707602850524553,34
22,0,22,1.129484900006454,34
23,0,23,1.3725632090208775,34
24,0,24,1.2388954222347044,34
25,0,25,1.086312840741288,34
26,0,26,1.3918285629048066,34
27,0,27,1.3317743281999124,34
28,0,28,1.1883084294182185,34
29,0,29,1.2627003415647131,34
30,0,30,1.1883084294182185,34
31,0,31,1.1595547523787308,34
32,0,32,1.3317743281999124,34
33,0,33,1.3918285629048066,34
34,0,34,1.3359422532021559,34
35,0,35,1.3359422532021559,34
36,0,36,1.3562162791272803,34
37,0,37,1.254999237609217,34
38,0,38,1.3562162791272803,34
39,0,39,1.3784188527203236,34
40,0,40,1.2022744664159828,34
41,0,41,1.191553055339504,34
42,0,42,1.309571754606869,34
43,0,43,1.3360253406140252,34
44,0,44,1.1578693192298966,34
45,0,45,1.2142103567882518,34
46,0,46,1.1578693192298966,34
47,0,47,1.133184253783444,34
48,0,48,1.0961085701090179,34
49,0,49,1.0116992927718491,34
50,0,50,1.1578693192298963,34
51,0,51,1.254999237609217,34
52,0,52,0.9669803487689241,34
53,0,53,1.1451363701530526,34
54,0,54,1.1451363701530526,34
55,0,55,1.092725395776657,34
56,0,56,1.254999237609217,34
57,0,57,0.9669803487689241,34
58,0,58,1.0360543354041232,34
59,0,59,1.011699292771849,34
60,1,0,1.254999237609217,34
61,1,1,1.254999237609217,34
62,1,2,1.3108855473118681,34
63,1,3,1.2772018112022603,34
64,1,4,1.094877864815888,34
65,1,5,1.054026074762777,34
66,1,6,1.036839086074006,34
