minute_of_day,entropy,hour,minute
0,1.450467463408549,0,0
1,1.4700053888821798,0,1
2,1.460204707165217,0,2
3,1.3956134767356851,0,3
4,1.3562162791272803,0,4
5,1.2627003415647131,0,5
6,1.2607717938967942,0,6
7,1.1680986951861814,0,7
8,1.3359422532021559,0,8
9,1.3359422532021559,0,9
10,1.4551160528034568,0,10
11,1.3386996992730573,0,11
12,1.5024584196986575,0,12
13,1.092725395776657,0,13
14,1.4252902657624795,0,14
15,1.4252902657624795,0,15
16,1.3360253406140252,0,16
17,1.3784188527203236,0,17
18,1.3784188527203236,0,18
19,1.3359422532021559,0,19
20,1.254999237609217,0,20
21,1.4707602850524553,0,21
22,1.129484900006454,0,22
23,1.3725632090208775,0,23
24,1.2388954222347044,0,24
25,1.086312840741288,0,25
26,1.391828562904807,0,26
27,1.3317743281999124,0,27
28,1.1883084294182185,0,28
29,1.2627003415647131,0,29
30,1.1883084294182185,0,30
31,1.1595547523787308,0,31
32,1.3317743281999124,0,32
33,1.391828562904807,0,33
34,1.3359422532021559,0,34
35,1.3359422532021559,0,35
36,1.3562162791272803,0,36
37,1.254999237609217,0,37
38,1.3562162791272803,0,38
39,1.3784188527203236,0,39
40,1.2022744664159828,0,40
41,1.191553055339504,0,41
42,1.309571754606869,0,42
43,1.3360253406140252,0,43
44,1.1578693192298966,0,44
45,1.2142103567882518,0,45
46,1.1578693192298966,0,46
47,1.133184253783444,0,47
48,1.0961085701090179,0,48
49,1.0116992927718491,0,49
50,1.1578693192298966,0,50
51,1.254999237609217,0,51
52,0.9669803487689241,0,52
53,1.1451363701530526,0,53
54,1.1451363701530526,0,54
55,1.092725395776657,0,55
56,1.254999237609217,0,56
57,0.9669803487689241,0,57
58,1.0360543354041232,0,58
59,1.0116992927718491,0,59
60,1.254999237609217,1,0
61,1.254999237609217,1,1
62,1.3108855473118681,1,2
63,1.2772018112022603,1,3
64,1.094877864815888,1,4
65,1.054026074762777,1,5
66,1.036839086074006,1,6
67,1.0174051189440556,1,7
68,0.8931705524970184,1,8
69,1.1578693192298966,1,9
70,1.2388954222347044,1,10
71,1.2022744664159828,1,11
72,1.092725395776657,1,12
73,1.092725395776657,1,13
74,1.1451363701530526,1,14
75,0.8931705524970184,1,15
76,1.092725395776657,1,16
77,1.0174051189440556,1,17
78,1.2388954222347044,1,18
79,1.3317743281999124,1,19
80,1.254999237609217,1,20
81,1.2137556289325473,1,21
82,1.2142103567882518,1,22
83,1.2137556289325473,1,23
84,1.1578693192298966,1,24
85,1.2022744664159828,1,25
86,1.092725395776657,1,26
87,1.0174051189440556,1,27
88,1.321606958388347,1,28
89,1.0174051189440556,1,29
90,0.9112392226370906,1,30
91,1.1544861448975354,1,31
92,1.2388954222347044,1,32
93,1.1400677626718572,1,33
94,1.117865189078814,1,34
95,1.036839086074006,1,35
96,1.1400677626718572,1,36
97,1.1400677626718572,1,37
98,0.8343470230852538,1,38
99,0.8262437571709396,1,39
100,1.092725395776657,1,40
101,0.8553529129344397,1,41
102,0.7085966983474103,1,42
103,0.92979150831574,1,43
104,1.022420703848328,1,44
105,0.9112392226370906,1,45
106,0.9363790159392477,1,46
107,0.6180038597674269,1,47
108,0.7870046561900532,1,48
109,0.8553529129344397,1,49
110,0.9112392226370906,1,50
111,0.848765405310932,1,51
112,0.9700627520488552,1,52
113,1.1578693192298966,1,53
114,1.054026074762777,1,54
115,0.8262437571709396,1,55
116,1.054026074762777,1,56
117,0.92979150831574,1,57
118,0.92979150831574,1,58
119,0.92979150831574,1,59
120,0.8931705524970184,2,0
121,1.054026074762777,2,1
122,1.092725395776657,2,2
123,1.054026074762777,2,3
124,1.054026074762777,2,4
125,1.0174051189440556,2,5
126,1.117865189078814,2,6
127,1.1544861448975354,2,7
128,0.8931705524970184,2,8
129,0.92979150831574,2,9
130,1.2388954222347044,2,10
131,1.0174051189440556,2,11
132,1.133184253783444,2,12
133,1.092725395776657,2,13
134,1.1400677626718572,2,14
135,1.117865189078814,2,15
136,1.0116992927718491,2,16
137,1.117865189078814,2,17
138,1.2022744664159828,2,18
139,1.117865189078814,2,19
140,0.6990299627722347,2,20
141,0.6990299627722347,2,21
142,0.7452176541661317,2,22
143,0.7452176541661317,2,23
144,0.7085966983474103,2,24
145,0.6180038597674269,2,25
146,0.6180038597674269,2,26
147,0.7870046561900532,2,27
148,0.6024308020404452,2,28
149,0.6180038597674269,2,29
150,0.6180038597674269,2,30
151,0.6402064333604701,2,31
152,0.6180038597674269,2,32
153,0.8040411835778964,2,33
154,0.8040411835778964,2,34
155,0.6990299627722347,2,35
156,0.8040411835778964,2,36
157,0.570401499427012,2,37
158,0.5115779700152473,2,38
159,0.6180038597674269,2,39
160,0.8262437571709396,2,40
161,0.8931705524970184,2,41
162,0.8262437571709396,2,42
163,0.7452176541661317,2,43
164,0.4305518670104394,2,44
165,0.5115779700152473,2,45
166,0.570401499427012,2,46
167,0.5115779700152473,2,47
168,0.6990299627722347,2,48
169,0.5115779700152473,2,49
170,0.5115779700152473,2,50
171,0.5115779700152473,2,51
172,0.8040411835778964,2,52
173,0.4305518670104394,2,53
174,0.7452176541661317,2,54
175,0.6180038597674269,2,55
176,0.19143325481419343,2,56
177,0.19143325481419343,2,57
178,0.19143325481419343,2,58
179,0.19143325481419343,2,59
180,0.3227569588973982,3,0
181,0.3815804883091629,3,1
182,0.19143325481419343,3,2
183,0.19143325481419343,3,3
184,0.19143325481419343,3,4
185,0.3815804883091629,3,5
186,0.3815804883091629,3,6
187,0.19143325481419343,3,7
188,0.3815804883091629,3,8
189,0.3815804883091629,3,9
190,0.3815804883091629,3,10
191,0.19143325481419343,3,11
192,0.3227569588973982,3,12
193,0.19143325481419343,3,13
194,0.19143325481419343,3,14
195,0.3227569588973982,3,15
196,0.0,3,16
197,0.19143325481419343,3,17
198,0.0,3,18
199,0.0,3,19
200,0.0,3,20
201,0.0,3,21
202,0.19143325481419343,3,22
203,0.0,3,23
204,0.0,3,24
205,0.19143325481419343,3,25
206,0.0,3,26
207,0.0,3,27
208,0.0,3,28
209,0.19143325481419343,3,29
210,0.0,3,30
211,0.19143325481419343,3,31
212,0.19143325481419343,3,32
213,0.19143325481419343,3,33
214,0.19143325481419343,3,34
215,0.0,3,35
216,0.19143325481419343,3,36
217,0.19143325481419343,3,37
218,0.3227569588973982,3,38
219,0.3815804883091629,3,39
220,0.0,3,40
221,0.3227569588973982,3,41
222,0.19143325481419343,3,42
223,0.3227569588973982,3,43
224,0.19143325481419343,3,44
225,0.0,3,45
226,0.0,3,46
227,0.0,3,47
228,0.0,3,48
229,0.0,3,49
230,0.19143325481419343,3,50
231,0.19143325481419343,3,51
232,0.0,3,52
233,0.0,3,53
234,0.0,3,54
235,0.0,3,55
