         Phone Data (Questions: 9.8, 11.5, 12.10)
----------------------------------------------------
           Number of
       ID  Phones   A1   A2    A3    A4    A5    A6
----------------------------------------------------
        1     3     4     4     5     4     4     2
        2     1     7     4     4     6     5     1
        3     2     4     4     6     5     6     3
        4     3     2     0     5     5     7     7
        5     3     6     1     7     3     8     3
        6     2     5     6     8     5     6     5
        7     1     8     3     3     3     6     5
        8     3     3     3     5     4     3     5
        9     3     2     3     8     4     7     5
       10     1     5     7     3     3     5     2
       11     1     6     7     3     6     5     2
       12     3     4     2     6     7     3     5
       13     2     3     2     4     4     2     2
       14     3     4     5     6     6     1     5
       15     2     5     1     4     5     4     6
       16     1     6     7     5     3     8     5
       17     1     7     6     1     4     5     3
       18     3     4     1     8     4     7     4
       19     1     4     8     3     6     4     4
       20     1     4     5     1     7     5     2
       21     1     5     8     1     6     5     5
       22     2     5     2     6     7     2     7
       23     2     8     5     5     6     3     4
       24     3     2     4     4     6     5     6
       25     3     5     1     3     3     2     8
       26     2     5     4     7     4     4     4
       27     1     6     6     3     3     7     3
       28     3     5     3     4     2     5     5
       29     2     3     5     4     3     7     4
       30     1     7     5     4     4     3     4
       31     2     3     3     5     4     5     5
       32     1     5     6     3     5     4     7
       33     1     6     6     3     6     5     2
       34     1     4     8     4     7     2     5
       35     2     8     3     4     8     6     5
       36     1     5     5     4     6     5     7
       37     2     3     2     8     3     6     4
       38     1     2     6     1     6     5     0
       39     1     6     7     5     7     9     3
       40     1     5     5     3     6     6     2
       41     1     2     4     2     6     1     1
       42     3     4     4     7     5     5     7
       43     2     3     2     6     5     1     5
       44     3     3     5     7     6     6     4
       45     2     3     2     2     5     4     5
       46     1     9     5     4     4     4     3
       47     1     6     5     4     5     5     5
       48     1     6     7     5     6     6     1
       49     2     6     6     6     6     5     5
       50     2     4     4     6     6     5     4
       51     1     8     6     2     6     6     3
       52     1     6     7     4     4     5     4
       53     3     4     3     6     6     6     9
       54     3     1     4     3     1     8     5
       55     3     4     3     5     4     7     5
       56     2     4     2     5     5     3     7
       57     1     1     8     7     9     2     5
       58     1     4     7     4     3     4     1
       59     3     4     3     6     5     4     5
       60     1     4     4     2     7     4     3
       61     1     7     4     2     4     6     2
       62     1     6     3     4     4     3     6
       63     2     3     2     3     5     2     5
       64     2     4     3     6     2     3     3
       65     2     5     3     4     4     4     8
       66     1     8     4     4     4     5     0
       67     1     6     8     3     5     3     3
       68     1     8     6     1     6     6     3
       69     2     3     0     8     4     4     5
       70     2     3     3     4     6     2     5
       71     1     4     6     6     5     2     0
       72     1     3     3     3     6     4     2
       73     1     7     6     0     4     6     3
       74     2     4     4     6     6     5     4
       75     2     6     5     7     6     5     5
       76     2     6     5     7     7     2     5
       77     3     4     3     5     4     5     5
       78     3     1     5     6     7     7     6
       79     2     2     4     5     6     5     5
       80     1     5     7     2     8     6     5
