tic,revtq,cogsq,niq,oiadpq,atq,actq,lctq,ceqq,dlttq,cheq,cshoq
ABT,10358000000.0,4468000000.0,1325000000.0,1693000000.0,81448000000,23153000000.0,13004000000.0,48811000000.0,12736000000.0,6532000000.0,
PNW,1032280000.0,,,57222000.0,27236478000,1589330000.0,3168006000.0,6738508000.0,8060736000.0,10047000.0,
AMD,7438000000.0,3702000000.0,709000000.0,806000000.0,71550000000,21595000000.0,7703000000.0,57881000000.0,3217000000.0,6049000000.0,1616000000.0
APD,2916200000.0,2053900000.0,-1730600000.0,-2328000000.0,38872900000,5187600000.0,5210600000.0,14703400000.0,,1491400000.0,
SWKS,953200000.0,561600000.0,68700000.0,97300000.0,7885700000,3035500000.0,613200000.0,5940300000.0,995100000.0,1387800000.0,153600000.0
HON,8925000000.0,6037000000.0,1449000000.0,2258000000.0,75218000000,27645000000.0,22071000000.0,17463000000.0,27076000000.0,9657000000.0,642700000.0
AEP,5631600000.0,,,1284200000.0,104394600000,5936900000.0,14242300000.0,27320700000.0,38810900000.0,256800000.0,
AXP,9626000000.0,,2584000000.0,,282244000000,,,31202000000.0,51236000000.0,,701000000.0
AFL,3398000000.0,,29000000.0,,120258000000,,,26338000000.0,,5231000000.0,542493000.0
AME,1731971000.0,1106971000.0,351758000.0,454829000.0,14877096000,2760796000.0,1962559000.0,9969946000.0,1459445000.0,399001000.0,
AIG,6783000000.0,,698000000.0,,161864000000,,,41431000000.0,,,580400000.0
AMGN,8149000000.0,2968000000.0,1730000000.0,1178000000.0,89367000000,26929000000.0,23008000000.0,6207000000.0,54013000000.0,8810000000.0,537700000.0
APA,,,,865000000.0,18531000000,2444000000.0,2761000000.0,5436000000.0,,67000000.0,
ADI,2423174000.0,992871000.0,391316000.0,491313000.0,47967546000,5733076000.0,2970996000.0,35070535000.0,6618556000.0,2349994000.0,495976483.0
AAPL,95359000000.0,50492000000.0,24780000000.0,29589000000.0,331233000000,118674000000.0,144571000000.0,66796000000.0,78566000000.0,28162000000.0,14939315000.0
ADM,6146000000.0,18995000000.0,295000000.0,,53402000000,27882000000.0,20171000000.0,,7596000000.0,864000000.0,
AMAT,7166000000.0,3670000000.0,1185000000.0,2175000000.0,33338000000,20694000000.0,7736000000.0,18625000000.0,5461000000.0,6264000000.0,
AVY,2148300000.0,1526800000.0,166300000.0,,8354700000,3030400000.0,2952800000.0,2170500000.0,,195900000.0,78552144.0
ADP,5553000000.0,2904200000.0,1249500000.0,,56448600000,46536800000.0,45845400000.0,5855300000.0,2982500000.0,2680600000.0,406300000.0
ADSK,,,,,10833000000,3482000000.0,5151000000.0,2621000000.0,2300000000.0,1599000000.0,214000000.0
BALL,,,,,18039000000,5040000000.0,4845000000.0,5501000000.0,,449000000.0,
BAX,2625000000.0,1764000000.0,126000000.0,58000000.0,21304000000,7035000000.0,3481000000.0,7081000000.0,,2294000000.0,
BDX,5272000000.0,3015000000.0,308000000.0,546000000.0,54467000000,8666000000.0,7691000000.0,25241000000.0,17666000000.0,667000000.0,
BK,,,1220000000.0,,440691000000,,,43119000000.0,30869000000.0,5354000000.0,
BRK.B,59357000000.0,,4603000000.0,,1164532000000,,,654471000000.0,,,
VZ,33485000000.0,,4879000000.0,7978000000.0,380364000000,37353000000.0,61066000000.0,,,2257000000.0,
BBY,,,,,14782000000,8224000000.0,8016000000.0,2808000000.0,1144000000.0,1578000000.0,211400000.0
BA,19496000000.0,17079000000.0,-37000000.0,461000000.0,156494000000,127662000000.0,103654000000.0,-3325000000.0,53394000000.0,10142000000.0,
CI,65502000000.0,48398000000.0,,1971000000.0,150658000000,43555000000.0,55745000000.0,40226000000.0,,8334000000.0,
BMY,11201000000.0,3033000000.0,2456000000.0,,92427000000,30783000000.0,24070000000.0,17389000000.0,46157000000.0,10875000000.0,
BF.B,1035000000.0,416000000.0,270000000.0,280000000.0,8071000000,4279000000.0,1227000000.0,3823000000.0,2361000000.0,599000000.0,
CSX,3423000000.0,,646000000.0,1041000000.0,43199000000,3020000000.0,3421000000.0,,,,
CAH,54878000000.0,52755000000.0,506000000.0,730000000.0,49871000000,34595000000.0,36662000000.0,-2948000000.0,,3326000000.0,
CASY,3903633000.0,,87097000.0,,8220178000,1099656000.0,1195638000.0,3417316000.0,2439038000.0,394815000.0,
STZ,2164200000.0,,-375300000.0,,21652300000,3716400000.0,4035200000.0,6882000000.0,9289000000.0,68100000.0,
CPB,2685000000.0,1866000000.0,173000000.0,327000000.0,15910000000,3181000000.0,3413000000.0,3910000000.0,,829000000.0,
CAT,14249000000.0,27000000.0,,2579000000.0,84974000000,43019000000.0,32595000000.0,,,3562000000.0,471000000.0
JPM,,,14643000000.0,,4357856000000,,,351420000000.0,,,
CVX,46101000000.0,28610000000.0,3500000000.0,,256397000000,38574000000.0,35702000000.0,149244000000.0,,,
CHD,1467100000.0,807500000.0,220100000.0,295300000.0,8955900000,2358800000.0,1208000000.0,4551000000.0,2205200000.0,1074500000.0,
CTAS,2609159000.0,1289818000.0,463497000.0,609853000.0,9611136000,3341428000.0,1941146000.0,4592248000.0,2027477000.0,243428000.0,403669000.0
CLX,1668000000.0,924000000.0,186000000.0,,5512000000,1590000000.0,2155000000.0,27000000.0,2483000000.0,226000000.0,123251595.0
CL,4911000000.0,1924000000.0,690000000.0,1076000000.0,16647000000,5814000000.0,6861000000.0,363000000.0,6571000000.0,1112000000.0,
KO,11129000000.0,4163000000.0,3330000000.0,3659000000.0,101716000000,26178000000.0,23808000000.0,26202000000.0,,8417000000.0,
AON,4729000000.0,,965000000.0,1461000000.0,50304000000,24414000000.0,23333000000.0,7004000000.0,16284000000.0,964000000.0,
CMCSA,29887000000.0,,3375000000.0,5658000000.0,267770000000,27314000000.0,42325000000.0,86638000000.0,,8593000000.0,
C,21596000000.0,,4064000000.0,,2571514000000,,,212408000000.0,295684000000.0,,
CAG,2841000000.0,2130700000.0,145100000.0,239400000.0,20744500000,2965600000.0,4303700000.0,8779100000.0,7270000000.0,49400000.0,
ED,4887000000.0,,791000000.0,1125000000.0,70691000000,6133000000.0,4780000000.0,23783000000.0,,360000000.0,
CMS,2398000000.0,,304000000.0,494000000.0,36295000000,2782000000.0,2627000000.0,8335000000.0,16148000000.0,465000000.0,299100000.0
COO,964700000.0,304500000.0,104300000.0,182000000.0,12222200000,1987000000.0,999600000.0,8127300000.0,2489100000.0,100900000.0,199900000.0
TAP,2690200000.0,1453200000.0,121000000.0,186300000.0,25930500000,2563600000.0,2865800000.0,13090300000.0,6154600000.0,412700000.0,
CMI,8174000000.0,6019000000.0,,1134000000.0,32531000000,15540000000.0,11575000000.0,10924000000.0,,1532000000.0,
GLW,3452000000.0,2238000000.0,157000000.0,445000000.0,27394000000,7644000000.0,4523000000.0,10716000000.0,,,
DHR,5741000000.0,2230000000.0,954000000.0,1274000000.0,79116000000,9525000000.0,6645000000.0,50849000000.0,15976000000.0,,715600000.0
TGT,,,1103000000.0,,57769000000,19454000000.0,20799000000.0,14666000000.0,13904000000.0,,455566995.0
DAL,14040000000.0,,240000000.0,569000000.0,77342000000,11236000000.0,29699000000.0,15447000000.0,12432000000.0,3711000000.0,
DE,8508000000.0,,869000000.0,,103119000000,,,22479000000.0,,6601000000.0,
DTE,,,445000000.0,624000000.0,49555000000,3617000000.0,4152000000.0,11921000000.0,,33000000.0,207515682.0
DIS,23621000000.0,,3275000000.0,4436000000.0,195833000000,22735000000.0,34029000000.0,104339000000.0,36443000000.0,5852000000.0,
DG,,,,,31132733000,8163925000.0,6868702000.0,7413707000.0,,932576000.0,219939000.0
DD,1612000000.0,1069000000.0,-589000000.0,,35981000000,6464000000.0,4632000000.0,22834000000.0,,1762000000.0,
DOV,1866059000.0,1120559000.0,230821000.0,296309000.0,12648548000,4553630000.0,2138933000.0,7137767000.0,2572540000.0,,
D,4085000000.0,,665000000.0,1223000000.0,104555000000,6406000000.0,8778000000.0,27365000000.0,,355000000.0,853000000.0
OMC,3690400000.0,3060900000.0,287700000.0,452600000.0,28113700000,14635300000.0,14545400000.0,4373200000.0,,,
DUK,,,1379000000.0,2343000000.0,187476000000,12775000000.0,16625000000.0,50670000000.0,79700000000.0,475000000.0,777000000.0
