entity_name,dba_name,street_number,street_name,city,zip_code,county,borough,square_footage,location
2490 GROCERY HOUSEWARE CORP,2490 GROCERY HOUSEWARE,2490,WILLIAMSBRIDGE RD,BRONX,10469,BRONX,Bronx,,
BANGLA HALAL FOOD MARKET INC,BANGLA HALAL FOOD MARKET,1002,CASTLE HILL AVE ##,BRONX,10472,BRONX,Bronx,2200,
A&Z GOURMET DELI CORP,A&Z GOURMET DELI,772,HUNTS POINT AVE,BRONX,10474,BRONX,Bronx,,
1892A DELI GROCERY CORP,1892A DELI GROCERY,1892,ARCHER STREET,BRONX,10462,BRONX,Bronx,,
MANDELA DELI MART CORP,MANDELA DELI MART,3660,WHITE PLAINS RD,BRONX,10467,BRONX,Bronx,,
TOP 5 DELI GROCERY CORP,TOP 5 DELI GROCERY,1074,NEILL AVE,BRONX,10461,BRONX,Bronx,,
BEST HOOD DELI & GROCERY INC,BEST HOOD DELI & GROCERY,839,TRINITY AVE,BRONX,10456,BRONX,Bronx,1100,
BRONX FRESH DELI CORP,BRONX FRESH DELI,1307,BOSTON ROAD ####,BRONX,10456,BRONX,Bronx,800,
RAYALIS DELI GROCERY INC,RAYALIS DELI GROCERY,385,E 194TH STREET,BRONX,10458,BRONX,Bronx,,
FANTASY 188 DELI GROCERY CORP,FANTASY 188 DELI GROCERY,3460,E 188TH STREET,BRONX,10458,BRONX,Bronx,,
188 VALENTINE CONVENIENCE CORP,188 VALENTINE CONVENIENCE,221,EAST 188TH STREET,BRONX,10458,BRONX,Bronx,,
3022 E TREMONT DELI GROCERY CORP,3022 E TREMONT DELI GROCERY,3022,E TREMONT AVE,BRONX,10461,BRONX,Bronx,750,
ELDERS GOURMET & CREPES CORP,ELDERS GOURMET & CREPES,1513,WESTCHESTER AVE,BRONX,10472,BRONX,Bronx,,
PELHAM CANDY STORE CORP,PELHAM CANDY STORE,3040,BUHRE AVE,BRONX,10461,BRONX,Bronx,700,
1054 UNITED DELI & SALAD INC,1054 UNITED DELI & SALAD,1054,SOUTHERN BLVD,BRONX,10459,BRONX,Bronx,900,
EHAB DELI & GROCERY CORP,EHAB DELI & GROCERY,2865,WHITE PLAINS RD,BRONX,10467,BRONX,Bronx,,
YADIEL GROCERY STORE CORP,YADIEL GROCERY STORE,670,BARRETTO STREET,BRONX,10474,BRONX,Bronx,1000,
1524 S&A GOURMET DELI INC,1524 S&A GOURMET DELI,1524-1526,MAYFLOWER AVE ####,BRONX,10461,BRONX,Bronx,800,
EURO MARKET DIASPORA 2 INC,EURO MARKET DIASPORA 2,1058,MORRIS PARK AVE,BRONX,10461,BRONX,Bronx,1000,
BRONX CHOPPED CHEESE & GRILL CORP,BRONX CHOPPED CHEESE & GRILL,4800,WHITE PLAINS RD ####,BRONX,10470,BRONX,Bronx,,
FRESH START BODEGA INC,FRESH START BODEGA,2777,WEBSTER AVE,BRONX,10458,BRONX,Bronx,800,
1203 WEST INDIAN GROCERY INC,1203 WEST INDIAN GROCERY,1203,ROSEDALE AVE,BRONX,10472,BRONX,Bronx,800,
NEW CASTILE DELI AND GROCERY CORP,NEW CASTILE DELI AND GROCERY,1105,CASTLE HILL AVE ####,BRONX,10472,BRONX,Bronx,600,
DHAKA MART LLC,DHAKA FOOD EXPRESS & DELI,368,E 204TH ST,BRONX,10467,BRONX,Bronx,2200,
EL NUEVO CORRAL MEAT MARKET & GROCERY,EL NUEVO CORRAL MEAT MARKET,75,E KINGSBRIDGE RD,BRONX,10468,BRONX,Bronx,1900,
82 GROCERY CANDY INC,82 GROCERY CANDY,82,W 165TH STREET,BRONX,10452,BRONX,Bronx,1000,
CELINE T GROCERY INC,CELINE T GROCERY,3900,WHITE PLAINS ROAD,BRONX,10466,BRONX,Bronx,800,
ILYAS GOURMET DELI CORP,ILYAS GOURMET DELI,3998,WHITE PLAINS RD,BRONX,10466,BRONX,Bronx,,
AMG RETAIL I LLC,AMG #192,281,BRUCKNER BLVD ##,BRONX,10454,BRONX,Bronx,950,
APEX PETROLEUM 91 INC,APEX PETROLEUM 91,91,WESTCHESTER SQUARE,BRONX,10461,BRONX,Bronx,1000,
SH&N AGA INC,SH&N AGA INC,3120,BAINBRIDGE AVENUE,BRONX,10467,BRONX,Bronx,,
TOWN FOOD MARKET CORP,TOWN FOOD MARKET,4702,WHITE PLAINS ROAD,BRONX,10470,BRONX,Bronx,,
KADOSH TRADING INC,KADOSH FOODS,490,HUNTS POINT AVE,BRONX,10474,BRONX,Bronx,5000,
NATIONWIDE COOOP CITY BLVD INC,USA NATIONWIDE WAREHOUSE,691,COOP CITY BLVD,BRONX,10475,BRONX,Bronx,,
HOT GRILL DELI & MART CORP,HOT GRILL DELI & MART,1745,RANDALL AVE,BRONX,10473,BRONX,Bronx,1000,
SUAVE DELI GROCERY INC,SUAVE DELI GROCERY,794,COURTLANDT AVENUE ####,BRONX,10451,BRONX,Bronx,1500,
BARNES AVENUE DELI GROCERY INC,BARNES AVENUE DELI GROCERY,3868,BARNES AVENUE ####,BRONX,10467,BRONX,Bronx,900,
WEAM CORPORATION,WEAM,3822,E TREMONT AVE,BRONX,10465,BRONX,Bronx,1200,
LUCKY ONE DELI CORP,LUCKY ONE DELI,1400,CROSBY AVE ####,BRONX,10461,BRONX,Bronx,,
