zip_code,borough,store_count,population,median_income,stores_per_10k,access_category,income_category
11220,Brooklyn,246,93584.0,57046.0,26.29,Abundant,Medium
11207,Brooklyn,195,97690.0,45616.0,19.96,Abundant,Low
10467,Bronx,179,102209.0,42639.0,17.51,Abundant,Low
11385,Queens,179,109111.0,77350.0,16.41,Abundant,High
10456,Bronx,177,90314.0,31166.0,19.6,Abundant,Low
11368,Queens,174,116469.0,62254.0,14.94,Abundant,Medium
11226,Brooklyn,173,99776.0,66173.0,17.34,Abundant,Medium
10458,Bronx,172,86757.0,38768.0,19.83,Abundant,Low
11208,Brooklyn,168,107724.0,49679.0,15.6,Abundant,Low
11214,Brooklyn,160,95361.0,58487.0,16.78,Abundant,Medium
11219,Brooklyn,159,93119.0,44450.0,17.07,Abundant,Low
11212,Brooklyn,157,78296.0,30733.0,20.05,Abundant,Low
11223,Brooklyn,152,83565.0,57281.0,18.19,Abundant,Medium
11211,Brooklyn,151,65925.0,89091.0,22.9,Abundant,High
10029,Manhattan,150,77661.0,33901.0,19.31,Abundant,Low
11204,Brooklyn,138,82140.0,58850.0,16.8,Abundant,Medium
11206,Brooklyn,137,90903.0,49013.0,15.07,Abundant,Low
11218,Brooklyn,137,76370.0,81857.0,17.94,Abundant,High
11235,Brooklyn,136,84859.0,58669.0,16.03,Abundant,Medium
10462,Bronx,136,78470.0,59032.0,17.33,Abundant,Medium
11221,Brooklyn,136,89728.0,66923.0,15.16,Abundant,Medium
11229,Brooklyn,132,85538.0,69076.0,15.43,Abundant,Medium
10452,Bronx,125,79838.0,33877.0,15.66,Abundant,Low
11237,Brooklyn,124,50590.0,65908.0,24.51,Abundant,Medium
11230,Brooklyn,123,91789.0,61017.0,13.4,Abundant,Medium
10002,Manhattan,121,76807.0,37093.0,15.75,Abundant,Low
10457,Bronx,121,79443.0,38066.0,15.23,Abundant,Low
10453,Bronx,119,80393.0,34860.0,14.8,Abundant,Low
10459,Bronx,117,51303.0,36631.0,22.81,Abundant,Low
11233,Brooklyn,117,85633.0,52380.0,13.66,Abundant,Medium
11372,Queens,112,67252.0,62910.0,16.65,Abundant,Medium
11209,Brooklyn,109,72938.0,84145.0,14.94,Abundant,High
10460,Bronx,108,59979.0,31504.0,18.01,Abundant,Low
10472,Bronx,107,66720.0,36730.0,16.04,Abundant,Low
11377,Queens,104,85255.0,66325.0,12.2,Abundant,Medium
11216,Brooklyn,101,62210.0,84661.0,16.24,Abundant,High
10451,Bronx,101,50118.0,33945.0,20.15,Abundant,Low
11215,Brooklyn,101,73419.0,156930.0,13.76,Abundant,Very High
11236,Brooklyn,96,102238.0,73562.0,9.39,Abundant,Medium
10461,Bronx,94,52756.0,61087.0,17.82,Abundant,Medium
10468,Bronx,92,82480.0,40138.0,11.15,Abundant,Low
11373,Queens,92,102104.0,62072.0,9.01,Abundant,Medium
11101,Queens,92,33789.0,98920.0,27.23,Abundant,High
10455,Bronx,92,42781.0,30741.0,21.5,Abundant,Low
10454,Bronx,89,38908.0,21846.0,22.87,Abundant,Low
11201,Brooklyn,88,68777.0,148282.0,12.79,Abundant,Very High
11232,Brooklyn,88,28501.0,77031.0,30.88,Abundant,High
11435,Queens,88,60842.0,71346.0,14.46,Abundant,Medium
11203,Brooklyn,86,79499.0,61414.0,10.82,Abundant,Medium
11222,Brooklyn,86,39669.0,110385.0,21.68,Abundant,Very High
10031,Manhattan,86,61801.0,57180.0,13.92,Abundant,Medium
11238,Brooklyn,85,58597.0,114427.0,14.51,Abundant,Very High
11432,Queens,84,64858.0,66246.0,12.95,Abundant,Medium
11225,Brooklyn,84,59465.0,68542.0,14.13,Abundant,Medium
11205,Brooklyn,83,50681.0,68607.0,16.38,Abundant,Medium
11213,Brooklyn,82,69392.0,48896.0,11.82,Abundant,Low
11234,Brooklyn,82,94254.0,86185.0,8.7,Abundant,High
10033,Manhattan,79,60739.0,71630.0,13.01,Abundant,Medium
10463,Bronx,79,73256.0,63048.0,10.78,Abundant,Medium
10466,Bronx,77,75767.0,62918.0,10.16,Abundant,Medium
11419,Queens,74,50107.0,84245.0,14.77,Abundant,High
11434,Queens,73,66424.0,66546.0,10.99,Abundant,Medium
11355,Queens,71,80918.0,46963.0,8.77,Abundant,Low
10032,Manhattan,70,60529.0,55059.0,11.56,Abundant,Medium
10019,Manhattan,70,43989.0,105538.0,15.91,Abundant,Very High
10469,Bronx,70,75290.0,70415.0,9.3,Abundant,Medium
10013,Manhattan,69,29563.0,137572.0,23.34,Abundant,Very High
10314,Staten Island,69,93736.0,94578.0,7.36,Abundant,High
10027,Manhattan,69,65840.0,58435.0,10.48,Abundant,Medium
10301,Staten Island,68,38736.0,78053.0,17.55,Abundant,High
10025,Manhattan,67,96918.0,103440.0,6.91,Abundant,Very High
10011,Manhattan,67,51867.0,139343.0,12.92,Abundant,Very High
10009,Manhattan,64,60000.0,77551.0,10.67,Abundant,High
10304,Staten Island,64,43849.0,64539.0,14.6,Abundant,Medium
11103,Queens,62,35912.0,82597.0,17.26,Abundant,High
11231,Brooklyn,61,40311.0,121638.0,15.13,Abundant,Very High
11210,Brooklyn,61,65854.0,77378.0,9.26,Abundant,High
11228,Brooklyn,61,45267.0,77189.0,13.48,Abundant,High
11375,Queens,59,76091.0,96321.0,7.75,Abundant,High
11106,Queens,59,40472.0,71972.0,14.58,Abundant,Medium
11354,Queens,59,53375.0,52273.0,11.05,Abundant,Medium
11418,Queens,57,38938.0,77708.0,14.64,Abundant,High
10035,Manhattan,56,37042.0,32555.0,15.12,Abundant,Low
10040,Manhattan,56,45771.0,54700.0,12.23,Abundant,Medium
10305,Staten Island,55,44531.0,76833.0,12.35,Abundant,High
10003,Manhattan,54,54447.0,137533.0,9.92,Abundant,Very High
11378,Queens,53,39994.0,85464.0,13.25,Abundant,High
11224,Brooklyn,51,48110.0,37241.0,10.6,Abundant,Low
10302,Staten Island,51,18144.0,73927.0,28.11,Abundant,Medium
11691,Queens,50,70797.0,54877.0,7.06,Abundant,Medium
11217,Brooklyn,50,42107.0,133269.0,11.87,Abundant,Very High
10128,Manhattan,49,58147.0,127919.0,8.43,Abundant,Very High
11421,Queens,49,42704.0,76721.0,11.47,Abundant,High
11105,Queens,48,38311.0,93200.0,12.53,Abundant,High
10473,Bronx,47,60296.0,48212.0,7.79,Abundant,Low
10001,Manhattan,47,26966.0,101409.0,17.43,Abundant,Very High
10306,Staten Island,46,55805.0,88687.0,8.24,Abundant,High
10018,Manhattan,46,8063.0,130457.0,57.05,Abundant,Very High
10034,Manhattan,46,43365.0,63851.0,10.61,Abundant,Medium
11420,Queens,46,51831.0,89027.0,8.87,Abundant,High
11249,Brooklyn,45,42421.0,105222.0,10.61,Abundant,Very High
11102,Queens,44,27876.0,95478.0,15.78,Abundant,High
10014,Manhattan,44,29815.0,136559.0,14.76,Abundant,Very High
10017,Manhattan,43,15514.0,136112.0,27.72,Abundant,Very High
11104,Queens,43,27575.0,81142.0,15.59,Abundant,High
11374,Queens,42,47019.0,79221.0,8.93,Abundant,High
10028,Manhattan,42,47793.0,149789.0,8.79,Abundant,Very High
10310,Staten Island,41,25976.0,96161.0,15.78,Abundant,High
10016,Manhattan,39,56758.0,136431.0,6.87,Abundant,Very High
10036,Manhattan,39,30437.0,98177.0,12.81,Abundant,High
10303,Staten Island,39,27469.0,69879.0,14.2,Abundant,Medium
11358,Queens,39,38103.0,74854.0,10.24,Abundant,Medium
10022,Manhattan,38,33303.0,156255.0,11.41,Abundant,Very High
11412,Queens,38,41782.0,93429.0,9.09,Abundant,High
10026,Manhattan,37,39401.0,65038.0,9.39,Abundant,Medium
11379,Queens,37,39805.0,88672.0,9.3,Abundant,High
11417,Queens,37,33236.0,78498.0,11.13,Abundant,High
10012,Manhattan,37,22269.0,117581.0,16.62,Abundant,Very High
11433,Queens,36,41396.0,68801.0,8.7,Abundant,Medium
10474,Bronx,36,11312.0,33157.0,31.82,Abundant,Low
10023,Manhattan,36,65891.0,136109.0,5.46,Abundant,Very High
10024,Manhattan,36,63916.0,153177.0,5.63,Abundant,Very High
11416,Queens,36,27098.0,76477.0,13.29,Abundant,High
10030,Manhattan,34,31611.0,42834.0,10.76,Abundant,Low
10010,Manhattan,33,33193.0,131635.0,9.94,Abundant,Very High
10021,Manhattan,33,42484.0,136060.0,7.77,Abundant,Very High
11356,Queens,32,27295.0,73318.0,11.72,Abundant,Medium
11367,Queens,32,42362.0,71469.0,7.55,Abundant,Medium
10039,Manhattan,31,27234.0,50164.0,11.38,Abundant,Medium
11357,Queens,31,44030.0,88580.0,7.04,Abundant,High
11413,Queens,31,45661.0,104236.0,6.79,Abundant,Very High
10309,Staten Island,29,35832.0,107500.0,8.09,Abundant,Very High
10470,Bronx,28,16446.0,70107.0,17.03,Abundant,Medium
11369,Queens,27,31550.0,66132.0,8.56,Abundant,Medium
10312,Staten Island,27,63935.0,100875.0,4.22,Adequate,Very High
10465,Bronx,26,46205.0,80245.0,5.63,Abundant,High
10065,Manhattan,25,31270.0,152335.0,7.99,Abundant,Very High
11429,Queens,25,28643.0,89318.0,8.73,Abundant,High
11428,Queens,24,21184.0,83417.0,11.33,Abundant,High
11423,Queens,24,30983.0,69386.0,7.75,Abundant,Medium
11361,Queens,22,30006.0,93734.0,7.33,Abundant,High
11422,Queens,22,34063.0,95945.0,6.46,Abundant,High
11694,Queens,21,22432.0,88643.0,9.36,Abundant,High
11365,Queens,21,45439.0,73279.0,4.62,Adequate,Medium
10038,Manhattan,21,23356.0,99924.0,8.99,Abundant,High
10308,Staten Island,20,30353.0,116082.0,6.59,Abundant,Very High
10471,Bronx,20,23387.0,96368.0,8.55,Abundant,High
11414,Queens,20,30915.0,86113.0,6.47,Abundant,High
10475,Bronx,20,44509.0,56327.0,4.49,Adequate,Medium
11366,Queens,19,13922.0,100781.0,13.65,Abundant,Very High
10037,Manhattan,17,19374.0,48782.0,8.77,Abundant,Low
11411,Queens,16,21605.0,108131.0,7.41,Abundant,Very High
10007,Manhattan,16,8194.0,250001.0,19.53,Abundant,Very High
11415,Queens,15,20351.0,80360.0,7.37,Abundant,High
11004,Queens,15,16426.0,100174.0,9.13,Abundant,Very High
11693,Queens,14,14147.0,64688.0,9.9,Abundant,Medium
11427,Queens,13,25890.0,84000.0,5.02,Abundant,High
11426,Queens,13,20959.0,102818.0,6.2,Abundant,Very High
11362,Queens,13,19217.0,100528.0,6.76,Abundant,Very High
11370,Queens,12,29780.0,67241.0,4.03,Adequate,Medium
11364,Queens,12,39015.0,90970.0,3.08,Adequate,High
11436,Queens,12,21248.0,78306.0,5.65,Abundant,High
11239,Brooklyn,12,15917.0,33736.0,7.54,Abundant,Low
10075,Manhattan,12,23391.0,131372.0,5.13,Abundant,Very High
10307,Staten Island,11,14828.0,117469.0,7.42,Abundant,Very High
11692,Queens,8,24639.0,53498.0,3.25,Adequate,Medium
10005,Manhattan,5,8637.0,197188.0,5.79,Abundant,Very High
11360,Queens,5,20076.0,92851.0,2.49,Limited,High
10044,Manhattan,5,12155.0,115294.0,4.11,Adequate,Very High
10004,Manhattan,4,4795.0,216017.0,8.34,Abundant,Very High
10280,Manhattan,4,8582.0,178148.0,4.66,Adequate,Very High
10119,Manhattan,4,0.0,77364.0,inf,Abundant,High
10006,Manhattan,4,3894.0,200536.0,10.27,Abundant,Very High
10020,Manhattan,3,0.0,77364.0,inf,Abundant,High
10281,Manhattan,3,43073.0,77364.0,0.7,Desert,High
10464,Bronx,3,4417.0,118972.0,6.79,Abundant,Very High
11005,Queens,2,2075.0,60800.0,9.64,Abundant,Medium
11363,Queens,2,7424.0,98111.0,2.69,Limited,High
10279,Manhattan,1,131.0,77364.0,76.34,Abundant,High
10285,Manhattan,1,43073.0,77364.0,0.23,Desert,High
10120,Manhattan,1,43073.0,77364.0,0.23,Desert,High
10112,Manhattan,1,0.0,77364.0,inf,Abundant,High
10118,Manhattan,1,43073.0,77364.0,0.23,Desert,High
10069,Manhattan,1,5774.0,183178.0,1.73,Limited,Very High
10041,Manhattan,1,43073.0,77364.0,0.23,Desert,High
10282,Manhattan,1,6419.0,250001.0,1.56,Limited,Very High
10123,Manhattan,1,43073.0,77364.0,0.23,Desert,High
10110,Manhattan,1,0.0,77364.0,inf,Abundant,High
11430,Queens,1,222.0,77364.0,45.05,Abundant,High
11697,Queens,1,3782.0,113047.0,2.64,Limited,Very High
