zip_code,borough,store_count,population,stores_per_10k,access_category
11220,Brooklyn,246,30000,82.0,Abundant
11207,Brooklyn,195,30000,65.0,Abundant
10467,Bronx,179,30000,59.67,Abundant
11385,Queens,179,30000,59.67,Abundant
10456,Bronx,177,30000,59.0,Abundant
11368,Queens,174,30000,58.0,Abundant
11226,Brooklyn,173,30000,57.67,Abundant
10458,Bronx,172,30000,57.33,Abundant
11208,Brooklyn,168,30000,56.0,Abundant
11214,Brooklyn,160,30000,53.33,Abundant
11219,Brooklyn,159,30000,53.0,Abundant
11212,Brooklyn,157,30000,52.33,Abundant
11223,Brooklyn,152,30000,50.67,Abundant
11211,Brooklyn,151,30000,50.33,Abundant
10029,Manhattan,150,30000,50.0,Abundant
11204,Brooklyn,138,30000,46.0,Abundant
11206,Brooklyn,137,30000,45.67,Abundant
11218,Brooklyn,137,30000,45.67,Abundant
11235,Brooklyn,136,30000,45.33,Abundant
10462,Bronx,136,30000,45.33,Abundant
11221,Brooklyn,136,30000,45.33,Abundant
11229,Brooklyn,132,30000,44.0,Abundant
10452,Bronx,125,30000,41.67,Abundant
11237,Brooklyn,124,30000,41.33,Abundant
11230,Brooklyn,123,30000,41.0,Abundant
10002,Manhattan,121,30000,40.33,Abundant
10457,Bronx,121,30000,40.33,Abundant
10453,Bronx,119,30000,39.67,Abundant
10459,Bronx,117,30000,39.0,Abundant
11233,Brooklyn,117,30000,39.0,Abundant
11372,Queens,112,30000,37.33,Abundant
11209,Brooklyn,109,30000,36.33,Abundant
10460,Bronx,108,30000,36.0,Abundant
10472,Bronx,107,30000,35.67,Abundant
11377,Queens,104,30000,34.67,Abundant
11216,Brooklyn,101,30000,33.67,Abundant
10451,Bronx,101,30000,33.67,Abundant
11215,Brooklyn,101,30000,33.67,Abundant
11236,Brooklyn,96,30000,32.0,Abundant
10461,Bronx,94,30000,31.33,Abundant
10468,Bronx,92,30000,30.67,Abundant
11373,Queens,92,30000,30.67,Abundant
11101,Queens,92,30000,30.67,Abundant
10455,Bronx,92,30000,30.67,Abundant
10454,Bronx,89,30000,29.67,Abundant
11201,Brooklyn,88,30000,29.33,Abundant
11232,Brooklyn,88,30000,29.33,Abundant
11435,Queens,88,30000,29.33,Abundant
11203,Brooklyn,86,30000,28.67,Abundant
11222,Brooklyn,86,30000,28.67,Abundant
