tweet_id,date,zip_code,borough,sentiment,topic,is_food_desert_zip,mentions_mamdani,likes,retweets
1,2025-01-01,10014,Manhattan,neutral,city_groceries,False,False,21,3
2,2025-01-01,11413,Queens,positive,other,False,False,16,4
3,2025-01-01,10463,Bronx,positive,city_groceries,False,False,16,7
4,2025-01-01,10302,Staten Island,negative,economics,False,True,13,3
5,2025-01-01,11354,Queens,positive,affordability,False,True,20,7
6,2025-01-01,11697,Queens,positive,food_deserts,False,True,25,4
7,2025-01-01,10025,Manhattan,positive,food_deserts,False,True,23,7
8,2025-01-01,11434,Queens,positive,affordability,False,True,26,7
9,2025-01-01,11373,Queens,positive,city_groceries,False,False,20,4
10,2025-01-01,11223,Brooklyn,positive,city_groceries,False,True,28,9
11,2025-01-01,10023,Manhattan,neutral,city_groceries,False,True,17,5
12,2025-01-01,11370,Queens,neutral,affordability,False,True,16,2
13,2025-01-01,10022,Manhattan,negative,food_deserts,False,True,18,5
14,2025-01-01,10069,Manhattan,positive,affordability,False,True,22,4
15,2025-01-01,11421,Queens,negative,city_groceries,False,True,23,4
16,2025-01-01,10017,Manhattan,positive,city_groceries,False,True,17,4
17,2025-01-01,11423,Queens,neutral,economics,False,True,17,12
18,2025-01-01,10036,Manhattan,neutral,affordability,False,True,16,7
19,2025-01-01,10026,Manhattan,neutral,city_groceries,False,True,27,7
20,2025-01-01,11206,Brooklyn,negative,food_deserts,False,True,26,6
21,2025-01-01,11370,Queens,negative,city_groceries,False,True,23,4
22,2025-01-01,11357,Queens,positive,economics,False,True,23,4
23,2025-01-01,10312,Staten Island,neutral,affordability,False,True,23,4
24,2025-01-01,10003,Manhattan,positive,city_groceries,False,False,16,6
25,2025-01-01,11368,Queens,positive,food_deserts,False,True,22,6
26,2025-01-01,11417,Queens,positive,food_deserts,False,True,19,4
27,2025-01-01,10027,Manhattan,neutral,food_deserts,False,True,18,1
28,2025-01-01,10027,Manhattan,positive,city_groceries,False,False,15,5
29,2025-01-01,10027,Manhattan,negative,city_groceries,False,True,28,10
30,2025-01-01,11430,Queens,neutral,economics,False,True,15,1
31,2025-01-01,11377,Queens,positive,affordability,False,True,22,5
32,2025-01-01,11221,Brooklyn,negative,food_deserts,False,True,21,5
33,2025-01-01,11212,Brooklyn,positive,affordability,False,False,20,3
34,2025-01-01,10471,Bronx,positive,city_groceries,False,False,30,8
35,2025-01-01,11373,Queens,negative,other,False,True,23,10
36,2025-01-01,10459,Bronx,positive,other,False,True,18,7
37,2025-01-01,11691,Queens,positive,food_deserts,False,True,19,8
38,2025-01-01,11364,Queens,positive,other,False,True,33,7
39,2025-01-01,11211,Brooklyn,positive,other,False,True,18,4
40,2025-01-01,11417,Queens,positive,city_groceries,False,True,18,7
41,2025-01-01,11427,Queens,positive,city_groceries,False,False,19,4
42,2025-01-01,10460,Bronx,neutral,food_deserts,False,False,18,4
43,2025-01-01,10039,Manhattan,positive,city_groceries,False,True,20,6
44,2025-01-01,11220,Brooklyn,negative,affordability,False,True,22,5
45,2025-01-01,11212,Brooklyn,negative,other,False,True,24,11
46,2025-01-01,11238,Brooklyn,neutral,food_deserts,False,False,17,6
47,2025-01-01,11368,Queens,neutral,city_groceries,False,True,16,2
48,2025-01-01,10012,Manhattan,neutral,city_groceries,False,True,19,6
49,2025-01-01,11229,Brooklyn,positive,city_groceries,False,True,16,5
50,2025-01-01,11105,Queens,positive,food_deserts,False,True,26,8
51,2025-01-02,10123,Manhattan,positive,affordability,True,False,20,3
52,2025-01-02,11433,Queens,positive,city_groceries,False,True,16,6
53,2025-01-02,10303,Staten Island,neutral,food_deserts,False,True,21,7
54,2025-01-02,11221,Brooklyn,positive,city_groceries,False,True,15,3
55,2025-01-02,10461,Bronx,neutral,other,False,False,21,0
56,2025-01-02,10012,Manhattan,positive,city_groceries,False,True,28,5
57,2025-01-02,10462,Bronx,positive,city_groceries,False,True,17,3
58,2025-01-02,11363,Queens,neutral,food_deserts,False,True,16,2
59,2025-01-02,11208,Brooklyn,neutral,food_deserts,False,True,18,6
60,2025-01-02,10461,Bronx,neutral,city_groceries,False,False,15,10
61,2025-01-02,10007,Manhattan,positive,food_deserts,False,True,11,5
62,2025-01-02,10303,Staten Island,neutral,food_deserts,False,False,24,3
63,2025-01-02,10003,Manhattan,neutral,food_deserts,False,False,13,6
64,2025-01-02,10006,Manhattan,neutral,affordability,False,True,20,5
65,2025-01-02,11201,Brooklyn,neutral,economics,False,True,13,5
66,2025-01-02,11356,Queens,positive,food_deserts,False,True,19,6
67,2025-01-02,11234,Brooklyn,positive,city_groceries,False,True,21,5
68,2025-01-02,11691,Queens,negative,city_groceries,False,True,23,3
69,2025-01-02,10285,Manhattan,positive,economics,True,True,21,2
70,2025-01-02,10040,Manhattan,neutral,food_deserts,False,False,20,5
71,2025-01-02,11426,Queens,positive,city_groceries,False,True,21,6
72,2025-01-02,10039,Manhattan,positive,city_groceries,False,False,17,8
73,2025-01-02,10011,Manhattan,positive,affordability,False,True,22,5
74,2025-01-02,10307,Staten Island,positive,food_deserts,False,True,13,8
75,2025-01-02,11357,Queens,positive,city_groceries,False,False,18,5
76,2025-01-02,11426,Queens,neutral,economics,False,False,19,4
77,2025-01-02,11385,Queens,positive,economics,False,True,22,4
78,2025-01-02,10024,Manhattan,neutral,city_groceries,False,True,17,8
79,2025-01-02,11357,Queens,positive,affordability,False,True,21,5
80,2025-01-02,10018,Manhattan,positive,other,False,True,20,6
81,2025-01-02,10009,Manhattan,positive,affordability,False,True,23,6
82,2025-01-02,10455,Bronx,negative,other,False,False,23,10
83,2025-01-02,10016,Manhattan,neutral,city_groceries,False,True,20,3
84,2025-01-02,10463,Bronx,negative,food_deserts,False,False,25,3
85,2025-01-02,10110,Manhattan,neutral,economics,False,True,19,9
86,2025-01-02,10472,Bronx,positive,economics,False,True,24,8
87,2025-01-02,10467,Bronx,neutral,city_groceries,False,False,23,3
88,2025-01-02,10023,Manhattan,neutral,city_groceries,False,False,24,7
89,2025-01-02,11414,Queens,negative,city_groceries,False,False,14,5
90,2025-01-02,11005,Queens,neutral,food_deserts,False,True,17,6
