ticker,sector,pe_ratio,forward_pe,price_to_book,price_to_sales,ev_to_ebitda,roe,roa,gross_margin,operating_margin,net_margin,debt_to_equity,total_debt,current_ratio,quick_ratio,revenue_growth,earnings_growth,eps_trailing,eps_forward,market_cap,beta,dividend_yield,name,return_1y,spy_return,outperformer
AAPL,Information Technology,32.6808,27.7168,43.0985,8.7221,24.495,1.5202,0.2438,0.4733,0.3537,0.2704,102.63,90509000704.0,0.974,0.845,0.157,0.183,7.91,9.3267,3799487348736.0,1.109,0.41,Apple Inc.,0.5056,0.37752618629064716,1
MSFT,Information Technology,23.6913,20.0774,7.1909,9.2061,15.967,0.3439,0.1486,0.6859,0.4709,0.3904,31.539,123278000128.0,1.386,1.239,0.167,0.598,15.97,18.8446,2812040183808.0,1.107,0.98,Microsoft Corporation,0.0761,0.37752618629064716,0
NVDA,Information Technology,37.0867,16.3475,28.0786,20.4541,32.1,1.0149,0.5119,0.7107,0.6502,0.556,7.255,11411999744.0,3.905,3.141,0.732,0.956,4.9,11.1164,4416826507264.0,2.335,0.02,NVIDIA Corporation,0.8878,0.37752618629064716,1
AVGO,Information Technology,67.9961,19.5913,20.7234,24.2681,43.88,0.3337,0.1066,0.7673,0.4494,0.3657,82.704,66056998912.0,1.902,1.671,0.295,0.316,5.14,17.8396,1657075138560.0,1.253,0.83,Broadcom Inc.,1.2589,0.37752618629064716,1
ORCL,Information Technology,26.0996,18.2336,12.4614,6.5251,19.69,0.5757,0.0634,0.6708,0.3268,0.253,415.265,162164998144.0,1.347,1.224,0.217,0.245,5.57,7.9729,418105196544.0,1.597,1.4,Oracle Corporation,0.1809,0.37752618629064716,0
CRM,Information Technology,23.4358,12.2501,2.8677,4.1195,14.107,0.124,0.0518,0.7768,0.1924,0.1796,29.947,17710999552.0,0.76,0.644,0.121,0.179,7.79,14.9032,171063410688.0,1.288,0.96,"Salesforce, Inc.",-0.2465,0.37752618629064716,0
AMD,Information Technology,89.3793,21.6302,6.0357,10.9802,52.578,0.0708,0.032,0.5249,0.1706,0.1252,6.359,4006000128.0,2.85,1.784,0.341,2.171,2.61,10.7849,380342239232.0,1.963,,"Advanced Micro Devices, Inc.",1.9841,0.37752618629064716,1
INTC,Information Technology,,58.2769,2.5564,5.5575,22.644,0.0002,0.0028,0.3656,0.0514,-0.005,37.282,47109001216.0,2.017,1.307,-0.041,,-0.06,1.0038,293729599488.0,1.349,,Intel Corporation,2.2267,0.37752618629064716,1
QCOM,Information Technology,25.4073,11.364,5.866,2.9999,9.836,0.2148,0.1405,0.551,0.2747,0.1196,64.218,14817000448.0,2.505,1.626,0.05,-0.018,4.96,11.0894,134595043328.0,1.279,2.87,QUALCOMM Incorporated,0.0348,0.37752618629064716,0
TXN,Information Technology,37.9633,26.1614,11.5316,10.6535,23.765,0.3015,0.1092,0.5702,0.3403,0.2828,90.819,14778999808.0,4.353,2.708,0.104,-0.032,5.45,7.9086,188374859776.0,0.994,2.84,Texas Instruments Incorporated,0.4619,0.37752618629064716,1
UNH,Health Care,23.1183,15.214,2.9445,0.6203,15.805,0.1254,0.039,0.1853,0.0034,0.0269,81.618,83003998208.0,0.788,0.704,0.123,-0.999,13.23,20.1035,277617213440.0,0.408,2.87,UnitedHealth Group Incorporated,-0.4314,0.37752618629064716,0
JNJ,Health Care,21.6902,19.043,7.071,6.1265,17.844,0.3503,0.0868,0.6808,0.2397,0.2846,60.499,49332998144.0,1.028,0.689,0.091,0.486,11.04,12.5747,577074429952.0,0.329,2.18,Johnson & Johnson,0.6407,0.37752618629064716,1
LLY,Health Care,41.81,22.7609,32.2863,13.1474,27.402,1.0116,0.1942,0.8304,0.449,0.3167,165.31,43865001984.0,1.579,0.777,0.426,0.514,22.9,42.0655,856935694336.0,0.504,0.67,Eli Lilly and Company,0.3286,0.37752618629064716,0
ABBV,Health Care,89.038,13.0939,-114.0649,6.1028,14.633,62.25,0.0981,0.7162,0.3411,0.0691,,68400001024.0,0.671,0.412,0.1,,2.37,16.1159,373244231680.0,0.364,3.35,AbbVie Inc.,0.2416,0.37752618629064716,0
MRK,Health Care,16.8716,12.5551,5.7778,4.6711,11.37,0.3688,0.1204,0.7721,0.3277,0.2808,95.959,50533998592.0,1.536,0.963,0.05,-0.193,7.28,9.7829,303671541760.0,0.275,2.85,"Merck & Company, Inc.",0.6119,0.37752618629064716,1
