ticker,company,sector,cik,period,year,quarter,month,end,Revenue,NetIncome,OperatingIncome,EBITDA_proxy,EPS_Basic,EPS_Diluted,GrossProfit,CostOfRevenue,OperatingExpenses,InterestExpense,IncomeTax,TotalAssets,TotalLiabilities,StockholdersEquity,CurrentAssets,CurrentLiabilities,CashAndEquivalents,LongTermDebt,Inventory,AccountsReceivable,SharesOutstanding,OperatingCashFlow,CapEx,FreeCashFlow_proxy,DividendsPaid,ShareRepurchases,Goodwill,ShortTermDebt,CurrentRatio,TotalDebt,DebtToEquity,ProfitMargin,GrossMargin,OperatingMargin,ROA,ROE,DebtRatio,FreeCashFlow
AAPL,AAPL,Information Technology,0000320193,2019Q1,2019,1,3,2019-03-30,58015000000.0,11561000000.0,13415000000.0,13793000000.0,0.62,0.61,21821000000.0,36194000000.0,8406000000.0,1010000000.0,2232000000.0,341998000000.0,236138000000.0,105860000000.0,123346000000.0,93772000000.0,37988000000.0,,4884000000.0,15085000000.0,4607284000.0,37845000000.0,5718000000.0,37845000000.0,7011000000.0,32498000000.0,,,1.3153819903595956,0.0,0.0,0.19927604929759546,0.37612686374213566,0.2312333017323106,0.033804291253165225,0.10921027772529757,0.6904660261171118,32127000000.0
AAPL,AAPL,Information Technology,0000320193,2019Q2,2019,2,6,2019-06-29,53809000000.0,10044000000.0,11544000000.0,11911000000.0,2.2,2.18,20227000000.0,33582000000.0,8683000000.0,866000000.0,1867000000.0,322239000000.0,225783000000.0,96456000000.0,134973000000.0,89704000000.0,50530000000.0,,3355000000.0,14148000000.0,4531395000.0,49481000000.0,7718000000.0,49481000000.0,10640000000.0,49453000000.0,,,1.504648622135022,0.0,0.0,0.18666022412607555,0.37590365923916075,0.2145366016837332,0.0311694115237448,0.10413038069171436,0.7006693789392345,41763000000.0
AAPL,AAPL,Information Technology,0000320193,2019Q3,2019,3,9,2019-09-28,64040000000.0,13686000000.0,63930000000.0,65737000000.0,0.76,0.76,24313000000.0,161782000000.0,34462000000.0,3576000000.0,10481000000.0,338516000000.0,248028000000.0,90488000000.0,162819000000.0,105718000000.0,48844000000.0,,4106000000.0,22926000000.0,17772945000.0,69391000000.0,10495000000.0,69391000000.0,14119000000.0,66897000000.0,,,1.540125617208044,0.0,0.0,0.2137101811367895,0.3796533416614616,0.9982823235477827,0.04042940363232462,0.15124657413137654,0.7326921031797611,58896000000.0
AAPL,AAPL,Information Technology,0000320193,2019Q4,2019,4,12,2019-12-28,91819000000.0,22236000000.0,25569000000.0,25918000000.0,1.26,1.25,35217000000.0,56602000000.0,9648000000.0,785000000.0,3682000000.0,340618000000.0,251087000000.0,89531000000.0,163231000000.0,102161000000.0,39771000000.0,,4097000000.0,20970000000.0,4384959000.0,30516000000.0,2107000000.0,30516000000.0,3539000000.0,20706000000.0,,,1.5977819324399722,0.0,0.0,0.2421720994565395,0.38354806739345887,0.2784717759940753,0.06528134156151466,0.24836090292747764,0.7371512955862579,28409000000.0
AAPL,AAPL,Information Technology,0000320193,2020Q1,2020,1,3,2020-03-28,150132000000.0,33485000000.0,12853000000.0,13135000000.0,7.63,7.56,57587000000.0,35943000000.0,9517000000.0,1542000000.0,1886000000.0,320400000000.0,241975000000.0,78425000000.0,143753000000.0,96094000000.0,40174000000.0,,3334000000.0,15722000000.0,4323987000.0,43827000000.0,3960000000.0,43827000000.0,6914000000.0,39280000000.0,,,1.4959622869273836,0.0,0.0,0.22303706071989982,0.38357578664108916,0.08561132869741295,0.10450998751560549,0.42696844118584637,0.7552278401997503,39867000000.0
AAPL,AAPL,Information Technology,0000320193,2020Q2,2020,2,6,2020-06-27,59685000000.0,11253000000.0,51513000000.0,52190000000.0,0.65,0.65,22680000000.0,129550000000.0,28754000000.0,697000000.0,7452000000.0,317344000000.0,245062000000.0,72282000000.0,140065000000.0,95318000000.0,33383000000.0,,3978000000.0,17882000000.0,4283939000.0,60098000000.0,5525000000.0,60098000000.0,10570000000.0,55171000000.0,,,1.4694496317589543,0.0,0.0,0.18853983412917819,0.3799949736114602,0.8630811761749183,0.03545994252294041,0.15568191250933844,0.7722282444287587,54573000000.0
AAPL,AAPL,Information Technology,0000320193,2020Q3,2020,3,9,2020-09-26,274515000000.0,57411000000.0,66288000000.0,67091000000.0,3.31,3.28,104956000000.0,169559000000.0,38668000000.0,2873000000.0,9680000000.0,323888000000.0,258549000000.0,65339000000.0,143713000000.0,105392000000.0,38016000000.0,,4061000000.0,16120000000.0,16976763000.0,80674000000.0,7309000000.0,80674000000.0,14081000000.0,72358000000.0,,,1.3636044481554577,0.0,0.0,0.20913611278072236,0.38233247727810865,0.24147314354406862,0.1772557180259843,0.8786635853012749,0.7982666847799239,73365000000.0
AAPL,AAPL,Information Technology,0000320193,2020Q4,2020,4,12,2020-12-26,111439000000.0,28755000000.0,33534000000.0,33579000000.0,1.7,1.68,44328000000.0,67111000000.0,10794000000.0,638000000.0,4824000000.0,354054000000.0,287830000000.0,66224000000.0,154106000000.0,132507000000.0,36010000000.0,,4973000000.0,27101000000.0,16823263000.0,38763000000.0,3500000000.0,38763000000.0,3613000000.0,24775000000.0,,,1.16300270929083,0.0,0.0,0.25803354301456405,0.39777815665969724,0.30091799100853384,0.0812164246131946,0.43420814206330033,0.8129550859473413,35263000000.0
AAPL,AAPL,Information Technology,0000320193,2021Q1,2021,1,3,2021-03-27,89584000000.0,23630000000.0,61037000000.0,61590000000.0,1.41,1.4,38079000000.0,118616000000.0,21370000000.0,1308000000.0,9205000000.0,337158000000.0,267980000000.0,69178000000.0,121465000000.0,106385000000.0,38466000000.0,,5219000000.0,18503000000.0,16686305000.0,62744000000.0,5769000000.0,62744000000.0,7060000000.0,43323000000.0,,,1.1417493067631714,0.0,0.0,0.2637747812109305,0.4250647437042329,0.6813381853902483,0.07008583512774426,0.3415825840585157,0.7948202326505673,56975000000.0
AAPL,AAPL,Information Technology,0000320193,2021Q2,2021,2,6,2021-06-26,81434000000.0,21744000000.0,24126000000.0,24369000000.0,1.31,1.3,35255000000.0,46179000000.0,11129000000.0,665000000.0,2625000000.0,329840000000.0,265560000000.0,64280000000.0,114423000000.0,107754000000.0,34050000000.0,,5178000000.0,17475000000.0,16556942000.0,83838000000.0,7862000000.0,83838000000.0,10827000000.0,66223000000.0,,,1.0618909738849602,0.0,0.0,0.2670137780288332,0.4329272785323084,0.296264459562345,0.06592287169536745,0.3382700684505289,0.8051176327916566,75976000000.0
AAPL,AAPL,Information Technology,0000320193,2021Q3,2021,3,9,2021-09-25,365817000000.0,94680000000.0,108949000000.0,109207000000.0,5.67,5.61,152836000000.0,212981000000.0,43887000000.0,2645000000.0,14527000000.0,351002000000.0,287912000000.0,63090000000.0,134836000000.0,125481000000.0,34940000000.0,118700000000.0,6580000000.0,26278000000.0,16426786000.0,104038000000.0,11085000000.0,104038000000.0,14467000000.0,85971000000.0,,,1.0745531195957954,118700000000.0,1.8814392138215248,0.2588179335569424,0.4177935962516778,0.29782377527561593,0.26974205275183616,1.5007132667617689,0.8202574344305731,92953000000.0
AAPL,AAPL,Information Technology,0000320193,2021Q4,2021,4,12,2021-12-25,123945000000.0,34630000000.0,41488000000.0,41241000000.0,2.11,2.1,54243000000.0,69702000000.0,12755000000.0,694000000.0,6611000000.0,381191000000.0,309259000000.0,71932000000.0,153154000000.0,147574000000.0,37119000000.0,117800000000.0,5876000000.0,30213000000.0,16340851000.0,46966000000.0,2803000000.0,46966000000.0,3732000000.0,20478000000.0,,,1.0378115386179136,117800000000.0,1.6376577879108047,0.2793981201339304,0.43763766186615033,0.3347291137197951,0.09084684580695766,0.4814269031863427,0.811296699030145,44163000000.0
AAPL,AAPL,Information Technology,0000320193,2022Q1,2022,1,3,2022-03-26,97278000000.0,25010000000.0,71467000000.0,71380000000.0,1.54,1.52,42559000000.0,124421000000.0,25335000000.0,1385000000.0,11740000000.0,350662000000.0,283263000000.0,67399000000.0,118180000000.0,127508000000.0,28098000000.0,113000000000.0,5460000000.0,20815000000.0,16207568000.0,75132000000.0,5317000000.0,75132000000.0,7327000000.0,43109000000.0,,,0.9268438058788468,113000000000.0,1.6765827386163,0.25709821336787353,0.437498715022924,0.734667653529061,0.07132224193097626,0.37107375480348376,0.807794970655503,69815000000.0
AAPL,AAPL,Information Technology,0000320193,2022Q2,2022,2,6,2022-06-25,304182000000.0,79082000000.0,23076000000.0,23066000000.0,4.86,4.82,132687000000.0,47074000000.0,12809000000.0,719000000.0,3624000000.0,336309000000.0,278202000000.0,58107000000.0,112292000000.0,129873000000.0,27502000000.0,108700000000.0,5433000000.0,21803000000.0,16095378000.0,98024000000.0,7419000000.0,98024000000.0,11138000000.0,64974000000.0,,,0.8646292916926536,108700000000.0,1.8706868363536235,0.25998251047070503,0.43620924315048226,0.07586247706964909,0.23514684412251827,1.3609719999311616,0.8272213946103137,90605000000.0
AAPL,AAPL,Information Technology,0000320193,2022Q3,2022,3,9,2022-09-24,394328000000.0,99803000000.0,119437000000.0,119103000000.0,6.15,6.11,170782000000.0,223546000000.0,51345000000.0,2931000000.0,19300000000.0,352755000000.0,302083000000.0,50672000000.0,135405000000.0,153982000000.0,23646000000.0,110087000000.0,4946000000.0,28184000000.0,15943425000.0,122151000000.0,10708000000.0,122151000000.0,14841000000.0,89402000000.0,,,0.8793560286267226,110087000000.0,2.172541048310704,0.2530964070519973,0.43309630561360085,0.30288744395528594,0.2829244092925685,1.9695887275023682,0.8563535598361469,111443000000.0
AAPL,AAPL,Information Technology,0000320193,2022Q4,2022,4,12,2022-12-31,117154000000.0,29998000000.0,36016000000.0,35623000000.0,1.89,1.88,50332000000.0,66822000000.0,14316000000.0,1003000000.0,5625000000.0,346747000000.0,290020000000.0,56727000000.0,128777000000.0,137286000000.0,20535000000.0,109400000000.0,6820000000.0,23752000000.0,15842407000.0,34005000000.0,3787000000.0,34005000000.0,3768000000.0,19475000000.0,,,0.9380199000626429,109400000000.0,1.9285349128281066,0.2560561312460522,0.42962254809908323,0.30742441572630896,0.08651264466599567,0.5288134398082042,0.8364023336899814,30218000000.0
AAPL,AAPL,Information Technology,0000320193,2023Q2,2023,2,4,2023-04-01,94836000000.0,24160000000.0,28318000000.0,28382000000.0,1.53,1.52,41976000000.0,52860000000.0,13658000000.0,930000000.0,4222000000.0,332160000000.0,270002000000.0,62158000000.0,112913000000.0,120075000000.0,24687000000.0,107600000000.0,7482000000.0,17936000000.0,15723406000.0,62565000000.0,6703000000.0,62565000000.0,7418000000.0,39069000000.0,,,0.9403539454507599,107600000000.0,1.7310724283278098,0.25475557805052934,0.44261672782487665,0.2985996878822388,0.07273603082851637,0.38868689468773127,0.8128672928709055,55862000000.0
AAPL,AAPL,Information Technology,0000320193,2023Q3,2023,3,7,2023-07-01,293787000000.0,74039000000.0,22998000000.0,22733000000.0,4.69,4.67,128721000000.0,45384000000.0,13415000000.0,2931000000.0,2852000000.0,335038000000.0,274764000000.0,60274000000.0,122659000000.0,124963000000.0,28408000000.0,105300000000.0,7351000000.0,19549000000.0,15647868000.0,88945000000.0,8796000000.0,88945000000.0,11267000000.0,56547000000.0,,,0.9815625425125837,105300000000.0,1.7470219331718486,0.2520159162930967,0.43814396144145246,0.0782812037292324,0.22098687313080903,1.2283737598301092,0.8200980187322036,80149000000.0
AAPL,AAPL,Information Technology,0000320193,2023Q3,2023,3,9,2023-09-30,383285000000.0,96995000000.0,114301000000.0,113736000000.0,6.16,6.13,169148000000.0,214137000000.0,54847000000.0,3933000000.0,16741000000.0,352583000000.0,290437000000.0,62146000000.0,143566000000.0,145308000000.0,29965000000.0,105103000000.0,6331000000.0,29508000000.0,15550061000.0,110543000000.0,10959000000.0,110543000000.0,15025000000.0,77550000000.0,,,0.9880116717592975,105103000000.0,1.6912271103530396,0.2530623426432028,0.4413112957720756,0.2982141226502472,0.27509834563776475,1.5607601454639075,0.8237407929480435,99584000000.0
AAPL,AAPL,Information Technology,0000320193,2023Q4,2023,4,12,2023-12-30,119575000000.0,33916000000.0,40373000000.0,40323000000.0,2.19,2.18,54855000000.0,64720000000.0,14482000000.0,,6407000000.0,353514000000.0,279414000000.0,74100000000.0,143692000000.0,133973000000.0,40760000000.0,106000000000.0,6511000000.0,23194000000.0,15460223000.0,39895000000.0,2392000000.0,39895000000.0,3825000000.0,20139000000.0,,,1.072544467915177,106000000000.0,1.4304993252361673,0.2836378841731131,0.4587497386577462,0.337637466025507,0.09593962332467738,0.45770580296896085,0.7903901967107385,37503000000.0
AAPL,AAPL,Information Technology,0000320193,2024Q1,2024,1,3,2024-03-30,90753000000.0,23636000000.0,27900000000.0,28058000000.0,1.53,1.53,42271000000.0,48482000000.0,14371000000.0,,4422000000.0,337411000000.0,263217000000.0,74194000000.0,128416000000.0,123822000000.0,32695000000.0,102600000000.0,6232000000.0,21837000000.0,15337686000.0,62585000000.0,4388000000.0,62585000000.0,7535000000.0,43344000000.0,,,1.0371016459110658,102600000000.0,1.382861147801709,0.26044318094167684,0.46578074554009236,0.30742785362467356,0.07005106531796533,0.3185702347898752,0.7801079395751769,58197000000.0
AAPL,AAPL,Information Technology,0000320193,2024Q2,2024,2,6,2024-06-29,296105000000.0,79000000000.0,93625000000.0,93875000000.0,5.13,5.11,136804000000.0,159301000000.0,43179000000.0,,14875000000.0,331612000000.0,264904000000.0,66708000000.0,125435000000.0,131624000000.0,25565000000.0,98300000000.0,6165000000.0,22795000000.0,15222259000.0,91443000000.0,6539000000.0,91443000000.0,11430000000.0,69866000000.0,,,0.9529796997508053,98300000000.0,1.473586376446603,0.2667972509751608,0.4620117863595684,0.3161885142094865,0.23823022086052376,1.1842657552317564,0.7988371952764074,84904000000.0
AAPL,AAPL,Information Technology,0000320193,2024Q3,2024,3,9,2024-09-28,391035000000.0,93736000000.0,123216000000.0,123485000000.0,6.11,6.08,180683000000.0,210352000000.0,57467000000.0,,29749000000.0,364980000000.0,308030000000.0,56950000000.0,152987000000.0,176392000000.0,29943000000.0,96662000000.0,7286000000.0,33410000000.0,15116786000.0,118254000000.0,9447000000.0,118254000000.0,15234000000.0,94949000000.0,,,0.8673125765340832,96662000000.0,1.6973134328358208,0.23971255769943867,0.4620634981523393,0.31510222870075566,0.25682503150857583,1.6459350307287095,0.8439640528248123,108807000000.0
AAPL,AAPL,Information Technology,0000320193,2024Q4,2024,4,12,2024-12-28,124300000000.0,36330000000.0,42832000000.0,42584000000.0,2.41,2.4,58275000000.0,66025000000.0,15443000000.0,,6254000000.0,344085000000.0,277327000000.0,66758000000.0,133240000000.0,144365000000.0,30299000000.0,94800000000.0,6911000000.0,29639000000.0,15040731000.0,29935000000.0,2940000000.0,29935000000.0,3856000000.0,23606000000.0,,,0.9229383853427077,94800000000.0,1.4200545253003385,0.2922767497988737,0.4688254223652454,0.34458567980691873,0.10558437595361611,0.5442044399173133,0.80598398651496,26995000000.0
AAPL,AAPL,Information Technology,0000320193,2025Q1,2025,1,3,2025-03-29,95359000000.0,24780000000.0,29589000000.0,29310000000.0,1.65,1.65,44867000000.0,50492000000.0,15278000000.0,,4530000000.0,331233000000.0,264437000000.0,66796000000.0,118674000000.0,144571000000.0,28162000000.0,92200000000.0,6269000000.0,26136000000.0,14939315000.0,53887000000.0,6011000000.0,53887000000.0,7614000000.0,49504000000.0,,,0.8208700223419635,92200000000.0,1.3803221749805377,0.25986010759341016,0.47050619238876246,0.31029058610094484,0.07481138654663032,0.3709802982214504,0.7983413488390347,47876000000.0
AAPL,AAPL,Information Technology,0000320193,2025Q2,2025,2,6,2025-06-28,94036000000.0,23434000000.0,28202000000.0,28031000000.0,1.57,1.57,43718000000.0,50318000000.0,15516000000.0,,4597000000.0,331495000000.0,265665000000.0,65830000000.0,122491000000.0,141120000000.0,36269000000.0,91800000000.0,5925000000.0,27557000000.0,14856722000.0,81754000000.0,9473000000.0,81754000000.0,11559000000.0,70579000000.0,,,0.8679917800453515,91800000000.0,1.3945009873917666,0.24920243311072354,0.4649070568718363,0.2999064188183249,0.07069186563899908,0.355977517849005,0.8014148026365405,72281000000.0
AAPL,AAPL,Information Technology,0000320193,2025Q3,2025,3,9,2025-09-27,416161000000.0,112010000000.0,133050000000.0,132729000000.0,7.49,7.46,195201000000.0,220960000000.0,62151000000.0,,20719000000.0,359241000000.0,285508000000.0,73733000000.0,147957000000.0,165631000000.0,35934000000.0,90700000000.0,5718000000.0,39777000000.0,14773260000.0,111482000000.0,12715000000.0,111482000000.0,15421000000.0,90711000000.0,,,0.8932929222186667,90700000000.0,1.2301140601901455,0.2691506412181824,0.4690516410716045,0.31970799762591884,0.3117962593356549,1.5191298333175105,0.7947533828265705,98767000000.0
AAPL,AAPL,Information Technology,0000320193,2025Q4,2025,4,12,2025-12-27,143756000000.0,42097000000.0,50852000000.0,51002000000.0,2.85,2.84,69231000000.0,74525000000.0,18379000000.0,,8905000000.0,379297000000.0,291107000000.0,88190000000.0,158104000000.0,162367000000.0,45317000000.0,88500000000.0,5875000000.0,39921000000.0,14702703000.0,53925000000.0,2373000000.0,53925000000.0,3921000000.0,24701000000.0,,,0.9737446648641658,88500000000.0,1.0035151377707223,0.292836472912435,0.4815868555051615,0.35373827875010433,0.11098690472110247,0.4773443701099898,0.7674909108165896,51552000000.0
ABBV,ABBV,Health Care,0001551152,2019Q1,2019,1,3,2019-03-31,,2456000000.0,3010000000.0,,1.65,1.65,6134000000.0,1694000000.0,,387000000.0,88000000.0,56769000000.0,,-7826000000.0,14413000000.0,13904000000.0,4897000000.0,,1702000000.0,5680000000.0,,3017000000.0,107000000.0,3017000000.0,1588000000.0,620000000.0,15606000000.0,499000000.0,1.036608170310702,499000000.0,-0.06376181957577307,,,,0.04326304849477708,-0.3138257091745464,,2910000000.0
ABBV,ABBV,Health Care,0001551152,2019Q2,2019,2,6,2019-06-30,,741000000.0,3400000000.0,,0.49,0.49,6436000000.0,1819000000.0,,358000000.0,66000000.0,57142000000.0,,-8566000000.0,15100000000.0,16941000000.0,5172000000.0,,1895000000.0,5482000000.0,,5494000000.0,235000000.0,5494000000.0,3180000000.0,623000000.0,15642000000.0,306000000.0,0.8913287291187061,306000000.0,-0.035722624328741535,,,,0.012967694515417731,-0.08650478636469765,,5259000000.0
ABBV,ABBV,Health Care,0001551152,2019Q3,2019,3,9,2019-09-30,,1884000000.0,9027000000.0,,1.27,1.26,6559000000.0,5433000000.0,,1225000000.0,271000000.0,59441000000.0,,-8226000000.0,20166000000.0,17493000000.0,10648000000.0,,1929000000.0,5529000000.0,,10049000000.0,389000000.0,10049000000.0,4771000000.0,627000000.0,15537000000.0,0.0,1.152803978734351,0.0,-0.0,,,,0.031695294493699636,-0.22902990517870167,,9660000000.0
ABBV,ABBV,Health Care,0001551152,2019Q4,2019,4,12,2019-12-31,33266000000.0,2801000000.0,12983000000.0,8426000000.0,1.88,1.88,6698000000.0,7439000000.0,,1784000000.0,544000000.0,89115000000.0,,-8172000000.0,49519000000.0,15585000000.0,39924000000.0,67233000000.0,1813000000.0,5428000000.0,,13324000000.0,552000000.0,13324000000.0,6366000000.0,629000000.0,15604000000.0,0.0,3.177350016041065,67233000000.0,-8.227239353891337,0.08420008417002345,0.20134672037515783,0.3902783622918295,0.0314312966391741,-0.34275575134605973,,12772000000.0
ABBV,ABBV,Health Care,0001551152,2020Q1,2020,1,3,2020-03-31,,3010000000.0,3603000000.0,,2.02,2.02,,1942000000.0,,563000000.0,88000000.0,91199000000.0,,-7415000000.0,51758000000.0,16471000000.0,41142000000.0,,1844000000.0,6362000000.0,,3815000000.0,125000000.0,3815000000.0,1763000000.0,643000000.0,15561000000.0,6000000.0,3.142371440713982,6000000.0,-0.0008091706001348617,,,,0.0330047478590774,-0.4059339177343223,,3690000000.0
ABBV,ABBV,Health Care,0001551152,2020Q2,2020,2,6,2020-06-30,,2272000000.0,752000000.0,,1.44,1.43,,3711000000.0,,632000000.0,46000000.0,149530000000.0,,14708000000.0,21256000000.0,24646000000.0,6017000000.0,,4059000000.0,8354000000.0,,6904000000.0,302000000.0,6904000000.0,3515000000.0,662000000.0,42669000000.0,64000000.0,0.8624523249208796,64000000.0,0.004351373402230079,,,,0.015194275396241557,0.1544737557791678,,6602000000.0
