zip_code,store_count
10001,47
10002,121
10003,54
10004,4
10005,5
10006,4
10007,16
10009,64
10010,33
10011,67
10012,37
10013,69
10014,44
10016,39
10017,44
10018,46
10019,70
10020,3
10021,33
10022,38
10023,36
10024,36
10025,67
10026,37
10027,69
10028,42
10029,150
10030,34
10031,86
10032,70
10033,79
10034,46
10035,56
10036,39
10037,17
10038,21
10039,31
10040,56
10041,1
10044,5
10065,25
10069,1
10075,12
10110,1
10112,1
10118,1
10119,4
10120,1
10123,1
10128,49
10279,1
10280,4
10281,3
10282,1
10285,1
10301,68
10302,51
10303,39
10304,64
10305,55
10306,46
10307,11
10308,20
10309,29
10310,41
10312,27
10314,69
10451,101
10452,125
10453,119
10454,89
10455,92
10456,177
10457,121
10458,172
10459,117
10460,108
10461,94
10462,136
10463,79
10464,3
10465,26
10466,77
10467,179
10468,92
10469,70
10470,28
10471,20
10472,107
10473,47
10474,36
10475,20
11004,15
11005,2
11101,92
11102,44
11103,62
11104,43
11105,48
11106,59
11201,88
11203,86
11204,138
11205,83
11206,137
11207,195
11208,168
11209,109
11210,61
11211,151
11212,157
11213,82
11214,160
11215,101
11216,101
11217,50
11218,137
11219,159
11220,246
11221,136
11222,86
11223,152
11224,51
11225,84
11226,173
11228,61
11229,132
11230,123
11231,61
11232,88
11233,117
11234,82
11235,136
11236,96
11237,124
11238,85
11239,12
11249,45
11354,59
11355,71
11356,32
11357,31
11358,39
11360,5
11361,22
11362,13
11363,2
11364,12
11365,21
11366,19
11367,32
11368,174
11369,27
11370,12
11372,112
11373,92
11374,42
11375,59
11377,104
11378,53
11379,37
11385,179
11411,16
11412,38
11413,31
11414,20
11415,15
11416,36
11417,37
11418,57
11419,74
11420,46
11421,49
11422,22
11423,24
11426,13
11427,13
11428,24
11429,25
11430,1
11432,84
11433,36
11434,73
11435,88
11436,12
11691,50
11692,8
11693,14
11694,21
11697,1
