gvkey,gsector,sic,sector_name,source
100243,15,2670,Materials,GICS (WRDS)
104432,25,4400,Consumer Discretionary,GICS (WRDS)
105365,60,6798,Real Estate,GICS (WRDS)
110179,60,6798,Real Estate,GICS (WRDS)
111864,45,7370,Information Technology,GICS (WRDS)
112111,60,7370,Real Estate,GICS (WRDS)
112168,20,4953,Industrials,GICS (WRDS)
113490,60,6798,Real Estate,GICS (WRDS)
114524,25,5961,Consumer Discretionary,GICS (WRDS)
114628,40,6211,Financials,GICS (WRDS)
117768,45,3674,Information Technology,GICS (WRDS)
118122,25,3714,Consumer Discretionary,GICS (WRDS)
119314,25,4700,Consumer Discretionary,GICS (WRDS)
121077,45,7373,Information Technology,GICS (WRDS)
121382,60,6798,Real Estate,GICS (WRDS)
122380,20,3585,Industrials,GICS (WRDS)
124434,40,6282,Financials,GICS (WRDS)
125240,50,7900,Communication Services,GICS (WRDS)
125595,45,7370,Information Technology,GICS (WRDS)
126136,50,4841,Communication Services,GICS (WRDS)
126296,25,4700,Consumer Discretionary,GICS (WRDS)
126554,35,3826,Health Care,GICS (WRDS)
126721,45,3812,Information Technology,GICS (WRDS)
128978,15,2650,Materials,GICS (WRDS)
133366,35,3842,Health Care,GICS (WRDS)
133768,40,6311,Financials,GICS (WRDS)
134932,45,3674,Information Technology,GICS (WRDS)
135990,55,4911,Utilities,GICS (WRDS)
136725,35,3845,Health Care,GICS (WRDS)
137131,35,8731,Health Care,GICS (WRDS)
138743,60,6798,Real Estate,GICS (WRDS)
139665,40,7323,Financials,GICS (WRDS)
140541,25,3100,Consumer Discretionary,GICS (WRDS)
141384,35,3843,Health Care,GICS (WRDS)
141459,25,3812,Consumer Discretionary,GICS (WRDS)
141913,40,7374,Financials,GICS (WRDS)
142953,30,2052,Consumer Staples,GICS (WRDS)
143356,40,6311,Financials,GICS (WRDS)
143357,45,8742,Information Technology,GICS (WRDS)
143912,20,3480,Industrials,GICS (WRDS)
144009,40,6411,Financials,GICS (WRDS)
144435,30,2040,Consumer Staples,GICS (WRDS)
144559,35,3842,Health Care,GICS (WRDS)
145046,35,6324,Health Care,GICS (WRDS)
145552,35,6324,Health Care,GICS (WRDS)
145701,40,6282,Financials,GICS (WRDS)
147579,50,7841,Communication Services,GICS (WRDS)
148349,20,3728,Industrials,GICS (WRDS)
149070,40,6200,Financials,GICS (WRDS)
149318,25,7990,Consumer Discretionary,GICS (WRDS)
149337,40,6200,Financials,GICS (WRDS)
150937,45,3572,Information Technology,GICS (WRDS)
157057,40,6351,Financials,GICS (WRDS)
157373,55,4911,Utilities,GICS (WRDS)
157855,45,7372,Information Technology,GICS (WRDS)
160211,25,5812,Consumer Discretionary,GICS (WRDS)
160225,40,7389,Financials,GICS (WRDS)
160329,50,7370,Communication Services,GICS (WRDS)
160479,60,6798,Real Estate,GICS (WRDS)
160888,45,3674,Information Technology,GICS (WRDS)
160991,60,6798,Real Estate,GICS (WRDS)
161844,25,7990,Consumer Discretionary,GICS (WRDS)
162129,15,2870,Materials,GICS (WRDS)
162887,35,3845,Health Care,GICS (WRDS)
163036,20,2452,Industrials,GICS (WRDS)
163610,40,6200,Financials,GICS (WRDS)
163946,15,2870,Materials,GICS (WRDS)
164296,50,4841,Communication Services,GICS (WRDS)
164708,40,6282,Financials,GICS (WRDS)
165123,20,7373,Industrials,GICS (WRDS)
165746,50,7900,Communication Services,GICS (WRDS)
165914,25,5812,Consumer Discretionary,GICS (WRDS)
165993,40,7374,Financials,GICS (WRDS)
170617,50,7370,Communication Services,GICS (WRDS)
170750,10,1311,Energy,GICS (WRDS)
170841,10,2911,Energy,GICS (WRDS)
171007,45,7372,Information Technology,GICS (WRDS)
171067,45,7370,Information Technology,GICS (WRDS)
175404,45,3674,Information Technology,GICS (WRDS)
176567,45,3570,Information Technology,GICS (WRDS)
176701,40,6211,Financials,GICS (WRDS)
176928,20,7373,Industrials,GICS (WRDS)
177088,40,6282,Financials,GICS (WRDS)
177227,35,3845,Health Care,GICS (WRDS)
177267,45,3678,Information Technology,GICS (WRDS)
178015,25,2300,Consumer Discretionary,GICS (WRDS)
178507,40,6282,Financials,GICS (WRDS)
178704,25,5990,Consumer Discretionary,GICS (WRDS)
179202,50,4899,Communication Services,GICS (WRDS)
179437,55,4941,Utilities,GICS (WRDS)
179534,40,6099,Financials,GICS (WRDS)
179621,30,2111,Consumer Staples,GICS (WRDS)
179741,40,6311,Financials,GICS (WRDS)
180652,20,8742,Industrials,GICS (WRDS)
180711,45,3674,Information Technology,GICS (WRDS)
183377,45,7372,Information Technology,GICS (WRDS)
183736,20,3621,Industrials,GICS (WRDS)
184254,40,6282,Financials,GICS (WRDS)
184500,40,6200,Financials,GICS (WRDS)
184700,40,7389,Financials,GICS (WRDS)
184725,45,3674,Information Technology,GICS (WRDS)
184996,25,3711,Consumer Discretionary,GICS (WRDS)
185532,10,4923,Energy,GICS (WRDS)
186310,20,3730,Industrials,GICS (WRDS)
186989,10,2911,Energy,GICS (WRDS)
187697,45,7370,Information Technology,GICS (WRDS)
189491,20,3561,Industrials,GICS (WRDS)
260774,60,6531,Real Estate,GICS (WRDS)
283184,15,2631,Materials,GICS (WRDS)
294524,15,2820,Materials,GICS (WRDS)
316056,20,3420,Industrials,GICS (WRDS)
1075,55,4911.0,Utilities,SIC mapping (CRSP fallback)
1078,15,2834.0,Materials,SIC mapping (CRSP fallback)
1161,45,3674.0,Information Technology,SIC mapping (CRSP fallback)
1209,15,2842.0,Materials,SIC mapping (CRSP fallback)
1300,25,3724.0,Consumer Discretionary,SIC mapping (CRSP fallback)
1327,45,3674.0,Information Technology,SIC mapping (CRSP fallback)
1440,55,4911.0,Utilities,SIC mapping (CRSP fallback)
1447,40,6141.0,Financials,SIC mapping (CRSP fallback)
1449,40,6321.0,Financials,SIC mapping (CRSP fallback)
1487,40,6331.0,Financials,SIC mapping (CRSP fallback)
1598,35,3823.0,Health Care,SIC mapping (CRSP fallback)
1602,15,2830.0,Materials,SIC mapping (CRSP fallback)
1632,45,3674.0,Information Technology,SIC mapping (CRSP fallback)
1678,15,1311.0,Materials,SIC mapping (CRSP fallback)
1690,20,3571.0,Industrials,SIC mapping (CRSP fallback)
