gvkey,start_date,end_date
001075,1999-10-04,2024-12-31
001078,1964-03-31,2024-12-31
001161,2017-03-20,2024-12-31
001209,1985-04-30,2024-12-31
001300,1964-03-31,2024-12-31
001327,2015-03-12,2024-12-31
001440,1964-03-31,2024-12-31
001447,1976-06-30,2024-12-31
001449,1999-05-28,2024-12-31
001487,1980-03-31,2024-12-31
001598,2013-09-23,2024-12-31
001602,1992-01-02,2024-12-31
001632,1999-10-12,2024-12-31
001678,1997-07-28,2024-12-31
001690,1982-11-30,2024-12-31
001704,1995-03-16,2024-12-31
001722,1981-07-29,2024-12-31
001878,1989-12-01,2024-12-31
001891,1981-03-31,2024-12-31
001913,1987-12-31,2024-12-31
001988,1984-10-31,2024-12-31
002019,1995-03-31,2024-12-31
002086,1972-09-30,2024-12-31
002111,1972-09-30,2024-12-31
002136,1983-11-30,2024-12-31
002176,2010-02-16,2024-12-31
002184,1999-06-30,2024-12-31
002285,1964-03-31,2024-12-31
002403,1964-03-31,2024-12-31
002435,1982-10-31,2024-12-31
002547,1976-06-30,2024-12-31
002574,1967-09-30,2024-12-31
002663,1964-03-31,2024-12-31
002710,2005-07-05,2024-12-31
002751,1997-05-27,2024-12-31
002817,1964-03-31,2024-12-31
002968,1976-06-30,2024-12-31
002991,1964-03-31,2024-12-31
003026,2015-12-29,2024-12-31
003062,2001-03-01,2024-12-31
003121,1969-03-31,2024-12-31
003144,1964-03-31,2024-12-31
003170,1964-03-31,2024-12-31
003221,1996-04-23,2024-12-31
003226,2002-11-19,2024-12-31
003243,1988-05-31,2024-12-31
003362,1983-08-31,2024-12-31
003413,1964-03-31,2024-12-31
003439,1999-05-03,2024-12-31
003504,2016-09-23,2024-12-31
003505,1976-06-30,2024-12-31
003532,1964-03-31,2024-12-31
003650,1965-03-31,2024-12-31
003735,1998-11-18,2024-12-31
003813,1976-12-31,2024-12-31
003835,1964-03-31,2024-12-31
003851,2013-09-11,2024-12-31
003897,1964-03-31,2024-12-31
003980,1976-06-30,2024-12-31
004016,2012-12-03,2024-12-31
004029,1964-03-31,2024-12-31
004058,1985-10-31,2024-12-31
004060,1964-03-31,2024-12-31
004066,1997-12-24,2024-12-31
004093,1976-06-30,2024-12-31
004145,1985-05-31,2024-12-31
004199,1964-03-31,2024-12-31
004213,1989-01-31,2024-12-31
004321,1965-03-31,2024-12-31
004383,2019-02-15,2024-12-31
004423,1997-06-19,2024-12-31
004430,2022-10-03,2024-12-31
004494,2007-10-10,2024-12-31
004503,1964-03-31,2024-12-31
004517,1976-06-30,2024-12-31
004598,1980-12-31,2024-12-31
004605,2016-02-01,2024-12-31
004640,1996-03-08,2024-12-31
004674,1998-08-28,2024-12-31
004699,2004-02-27,2024-12-31
004723,1999-01-04,2024-12-31
004839,1964-03-31,2024-12-31
004885,1998-04-29,2024-12-31
004973,2016-05-31,2024-12-31
005046,1964-03-31,2024-12-31
005047,1964-03-31,2024-12-31
005071,1969-03-31,2024-12-31
005073,2013-06-07,2024-12-31
005125,1973-12-31,2024-12-31
005256,1981-06-30,2024-12-31
005439,1964-03-31,2024-12-31
005492,2008-09-22,2024-12-31
005518,1984-09-30,2024-12-31
005543,2009-01-30,2024-12-31
005568,2015-07-03,2024-12-31
005597,1964-03-31,2024-12-31
005606,1974-12-31,2024-12-31
005643,2017-06-19,2024-12-31
005680,1988-03-31,2024-12-31
005709,2009-03-04,2024-12-31
005742,1985-07-31,2024-12-31
005764,2023-10-18,2024-12-31
005783,2015-07-01,2024-12-31
005786,1997-08-06,2024-12-31
005878,1986-02-28,2024-12-31
005959,2010-11-17,2024-12-31
006008,1976-12-31,2024-12-31
006066,1964-03-31,2024-12-31
